"str","en_US","ne_NP"
"app_name","Food Delivery","Food Delivery"
"language.language_title","Choose Language","भाषा छनौट गर्नुहोस्"
"language.language_en","English","English"
"language.language_np","नेपाली","नेपाली"
"action_button.action_add_cart","Add to cart","Add to cart"
"action_button.action_next","Next","Next"
"action_button.action_skip","Skip","Skip"
"action_button.action_login","Log in","Log in"
"action_button.action_register","Sign Up","Sign Up"
"action_button.action_forgot_password","Forgot Password?","Forgot Password?"
"action_button.action_reset_password","Reset Password","Reset Password"
"action_button.action_check_back","Check back","Check back"
"action_button.action_change","Change","Change"
"action_button.action_readmore","Read more","Read more"
"action_button.action_resend_code","Resend code","Resend code"
"action_button.action_verify_code","Verify code","Verify code"
"action_button.action_checkout","Check out","Check out"
"action_button.action_apply_filter","Apply filter","Apply filter"
"action_button.action_clear_filter","Clear filter","Clear filter"
"action_button.action_proceed","Proceed","Proceed"
"action_button.action_add_address","Add Address","Add Address"
"action_button.action_delete_address","Delete Address","Delete Address"
"action_button.action_continue","Continue","Continue"
"action_button.action_continue_Shopping","Continue Shopping","Continue Shopping"
"action_button.action_work","Work","Work"
"action_button.action_home","Home","Home"
"action_button.action_cash_on_delivery","Cash On Delivery","Cash On Delivery"
"action_button.action_cash_on_pickup","Cash On Pickup","Cash On Pickup"
"tab_item.tab_home","Home","Home"
"tab_item.tab_search","Search","Search"
"tab_item.tab_cart","Cart","Cart"
"tab_item.tab_history","History","History"
"tab_item.tab_profile","Profile","Profile"
"menu_item.guest","Guest","Guest"
"menu_item.menu_home","Home","Home"
"menu_item.menu_notifications","Notifications","Notifications"
"menu_item.menu_my_orders","My orders","My orders"
"menu_item.menu_favorite_foods","Favorite Foods","Favorite Foods"
"menu_item.menu_app_preferences","Application Preferences","Application Preferences"
"menu_item.menu_help_support","Help Support","Help Support"
"menu_item.menu_settings","Settings","Settings"
"menu_item.menu_languages","Languages","Languages"
"menu_item.menu_light_mode","Light mode","Light mode"
"menu_item.menu_dark_mode","Dark mode","Dark mode"
"menu_item.menu_login","Login","Login"
"menu_item.menu_logout","Logout","Logout"
"filter.category","Categories","Categories"
"filter.food_type","Type of food","Type of food"
"filter.price_range","Price range","Price range"
"filter.categories","All, Breakfast, Lunch, Dinner, Burger, Italian food, Pasta, Chinese food, Pizza, Salad food, Cheese","All, Breakfast, Lunch, Dinner, Burger, Italian food, Pasta, Chinese food, Pizza, Salad food, Cheese"
"filter.types","Any, Vegetarian, Vegan food, Protein","Any, Vegetarian, Vegan food, Protein"
"title.title_product_detail","Product detail","Product detail"
"title.title_quantity","Quantity","Quantity"
"title.title_total_price","Total Price","Total Price"
"title.title_search","Search","Search"
"title.title_login","Login","Login"
"title.title_register","Sign Up","Sign Up"
"title.title_phone","Your Phone","Your Phone"
"title.title_reset_pass","Reset Password","Reset Password"
"title.title_code_verify","Confirmation","Confirmation"
"title.title_ingrident","Ingridents","Ingridents"
"title.title_extra","Extra Ingridents","Extra Ingridents"
"title.title_description","Description","Description",
"title.title_review","Review","Review"
"title.title_filter","Filter","Filter"
"title.title_wishlist","Wishlist","Wishlist"
"title.title_checkout","Checkout","Checkout"
"title.title_select_address","Select Address","Select Address"
"title.title_my_address","My Address","My Address"
"title.title_add_address","Add Address","Add Address"
"title.title_payment_method","Select Payment Method","Select Payment Method"
"title.title_address_type","Select a type for address","Select a type for address"
"subtitle.subtitle_phone","Enter your mobile phone number and we will send you a confirmation code","Enter your mobile phone number and we will send you a confirmation code"
"subtitle.subtitle_reset_pass","Please enter your email address and we will send you a reset email","Please enter your email address and we will send you a reset email"
"subtitle.subtitle_code_verify","Please enter the confirmation code that we just sent you","Please enter the confirmation code that we just sent you"
"subtitle.subtitle_ingrident","Please choose the ingridents you want to remove","Please choose the ingridents you want to remove"
"subtitle.subtitle_extra","Please choose the ingridents you want to add","Please choose the ingridents you want to add"
"subtitle.subtitle_resend_email","Resent email sent to your mailbox","Resent email sent to your mailbox"
"home_page.all_items_title","All Products","All Products"
"home_page.most_popular_title","Most Popular","Most Popular"
"hint_text.hint_search_foods","What are you looking for?","What are you looking for?"
"hint_text.hint_name","Full Name","Full Name"
"hint_text.hint_email","Email Address","Email Address"
"hint_text.hint_password","Password","Password"
"hint_text.hint_password_confirm","Confirm Password","Confirm Password"
"hint_text.hint_phone_number","Mobile Number","Mobile Number"
"hint_text.hint_city","City","City"
"hint_text.hint_address","Address","Address"
"unit.weight","{weight} gm","{weight} gm"
"unit.rating","{rating} rating","{rating} rating"
"unit.amount","Rs.{amount}","Rs.{amount}"
"unit.vat","VAT ({vat}%)","VAT ({quantity}%)"
"unit.quantity","Qty: {quantity}","Qty: {quantity}"
"unit.subtotal","Subtotal ({item} item/s)","Subtotal ({item} item/s)"
"unit.total_amount","Total","Total"
"unit.delivery_amount","Delivery","Delivery"
"unit.vat_included","{vat}% VAT included","{vat}% VAT included"
"message.welcome_message","Welcome","Welcome"
"message.trending_food_refreshed_successfuly","Trending foods refreshed successfully","Trending foods refreshed successfully"
